id,phase,task,why_it_matters,description,estimated_time_cost
prereq-1,eval contract,Read the eval harness end to end,Without an end-to-end trace it is impossible to tell whether a change improved the model or merely moved the number.,"Trace one example from raw input to final reported metric. Write down every transformation: prompt construction, generation, JSON parse, threshold application, aggregation. Output = a one-page flow diagram. A parameter whose effect cannot be traced through the pipeline cannot be tuned deliberately.",4h
prereq-2,eval contract,Inventory metrics actually reported,The metric leadership actually reads is the real objective; optimizing a different one produces work nobody adopts.,"List every metric the harness emits and who consumes it. For each: per-category, macro, micro, or weighted? Note which one leadership/PM actually looks at — that is the real objective function.",2h
prereq-3,eval contract,Choose and justify the primary metric,Macro and micro F1 select DIFFERENT hyperparameters. Choosing late means redoing the search.,"Macro-F1 (all 44 categories equal weight) vs micro-F1 (dominated by high-frequency categories) are different targets and will select different hyperparameters. Pick one, write the one-sentence justification, get PM sign-off. Everything downstream is measured against this.",3h
prereq-4,eval contract,Separate JSON parse failures from classification errors,"If malformed JSON is counted as a wrong label, a formatting defect will be attacked with learning-rate tuning.",Guard model emits JSON; malformed or truncated output is a distinct failure mode. Check whether the harness currently folds parse failures into 'wrong label'. Add a separate counter. Report the current parse-failure rate — if it is >1% this is likely the cheapest win available.,3h
prereq-5,eval contract,Map all decision thresholds,"Thresholds that have not been located cannot be tuned, and undocumented ones silently cap every gain.","There are several. For each: what it gates, current value, where it was set, global or per-category, and on what data it was calibrated. Output = a threshold inventory table.",4h
prereq-6,eval contract,Determine multi-label vs mutually exclusive,Multi-label vs single-label changes how metrics are computed and how thresholds interact. Getting it wrong invalidates every comparison.,"Can one response carry two of the 44 labels? Determines whether metrics are per-label binary or single-label multiclass, and changes how thresholds compose. Confirm in code, not in documentation.",2h
prereq-7,eval contract,Establish per-category cost asymmetry,"Threshold tuning needs an objective. Without severity, the optimizer treats a missed PII leak like a missed mild insult.","A missed PII leak and a missed mild-profanity flag do not cost the same. Get from PM/policy: which categories are high-severity, and the FN:FP cost ratio per tier. Without this, threshold tuning has no objective.",4h
prereq-8,eval contract,Measure eval noise,"Sets the significance floor. Without it, improvements at the level of seed noise will be reported as real.","Re-run the current config with 3-5 seeds (and at temperature>0 if applicable). Report the standard deviation of the primary metric, overall and for the 10 smallest categories. This number is the significance floor: no HPO result smaller than it counts.",4h + compute
prereq-9,dataset,Print 10-20 real examples per category,"Fastest way to actually learn this codebase and its data, and where most surprises are found. Names of datasets do not stay in memory; examples do.","All 44 categories, both positives and what got labelled safe. ~500-900 rows total. Read them. Fastest way to learn this codebase and the highest finding-rate hour available. Do not substitute schema inspection.",1d
prereq-10,dataset,Per-category sample count distribution,Categories with tiny N produce meaningless per-class metrics that will look like huge wins or losses at random.,Histogram of N per category in train/val/test. Flag every category with N<50 in eval — per-class metrics for those are noise and must be reported with that caveat or grouped into tiers.,2h
