id,paper,arxiv_id,venue_year,platform,agents_under_test,agent_sits_where,threat_model,scale,verification_method,collusion_studied,verification,notes
b2-01,MobileSafetyBench,-,ICLR 2025 / arXiv 2410.17520,Android,1,"external controller process, OUTSIDE app sandbox",unsafe task execution,250 tasks (150 high-risk / 100 low-risk),"emulator Pixel 7; obs = screenshot + parsed view hierarchy; actions via ADB; agent is an external controller process, NOT installed on-device",NO,read-setup (verified 2026-08-27),"Categories: text messaging, web navigation, social media, calendar settings, financial transactions."
b2-03,OS-Sentinel,-,arXiv 2510.24411 (ACL 2026 anthology 2026.acl-long.431 - VENUE UNCONFIRMED),Android,1,agent: external controller (M3A + GPT-4o) OUTSIDE sandbox. VERIFIER: IN-SANDBOX - uses UsageStatsManager / StorageAccessFramework / ActivityManager and explicitly does NOT require root or ADB,explicit system-level violations + contextual risk,-,"Android Emulator (Android Studio); trajectory = (screenshot, a11ytree) per step + System State Trace",NO,read-setup (verified 2026-08-27),MERGED with former b2-02 (MobileRisk / MobileRisk-Live): same paper. The formal-verifier half is the closest existing thing to mechanical ground truth on a phone AND the ONLY branch-2 component that lives INSIDE the permission model. Step-level annotation design is what we inherit for labelling collusive traces. Single agent at a time.
b2-04,SeerGuard: A Safety Framework for Mobile GUI Agents via World Model Prediction,2607.15550,arXiv 2026,mobile GUI,1,UNVERIFIED (inferred from same-family harnesses),unsafe next state,-,world-model prediction,NO,search-summary,
b2-05,CORA: Conformal Risk-Controlled Agents for Safeguarded Mobile GUI Automation,2604.09155,arXiv 2026,mobile GUI,1,UNVERIFIED (inferred from same-family harnesses),risk exceeding a bound,-,conformal risk control,NO,search-summary,Gives a calibrated abstention mechanism - relevant to Paper 3.
b2-06,SafeMobile: Chain-level Jailbreak Detection and Automated Evaluation for Multimodal Mobile Agents,2507.00841,arXiv 2025,mobile,1,UNVERIFIED (inferred from same-family harnesses),jailbreak,-,chain-level detection,NO,search-summary,
b2-07,Exploiting Mobile LLM Agents as Confused Deputies via Non-App-Controlled Channels,2510.27140,arXiv 2025 (v3),Android,1,UNVERIFIED (inferred from same-family harnesses),"indirect injection via in-app advertisements, embedded WebViews, external web pages, emails, messages, cross-app notifications",-,-,NO - external attacker steers one agent; not peer-to-peer,search-summary,"Closest in MECHANISM (uses ambient cross-app channels) but opposite in DIRECTION: attacker -> agent, not agent <-> agent."
b2-08,(A)I Sees What You Don't: Exploiting New Attack Surfaces in Third-Party Mobile Agents,2607.00333,arXiv 2026 (v2),Android,1,"OFF-DEVICE: agent runs on a HOST MACHINE connected via ADB (USB/Wi-Fi debugging enabled). Paper calls the agents ""high-privilege decision-makers"". Device NOT rooted",attacks on deployed agents,"5 open-source agents: AppAgent, AppAgentX, Mobile-Agent V3, Open-AutoGLM, MobA - >37000 GitHub stars combined as of Jan 2026",-,NO,read-setup (verified 2026-08-27),"CRITICAL FACT (verified): all five agents (AppAgent, AppAgentX, Mobile-Agent-v3, Open-AutoGLM, MobA) obtain screen state via ADB screenshot and issue actions via ADB commands. The agent is not even on the phone. This is what makes the SCREEN a shared blackboard between any two of them."
b2-09,MobiRed,-,-,Android,8 SOTA mobile agents,UNVERIFIED (inferred from same-family harnesses),automated adversarial scenario synthesis,-,-,NO,search-summary,
b2-10,Hijacking JARVIS: Benchmarking Mobile GUI Agents against Unprivileged Third Parties,2507.04227,EdgeFM workshop 2025,mobile GUI,1,UNVERIFIED (inferred from same-family harnesses),unprivileged third parties,-,-,NO,search-summary,
b2-11,LITMUS: Benchmarking Behavioral Jailbreaks of LLM Agents in Real OS Environments,2605.10779,arXiv 2026,Ubuntu 24.04 (NOT Android),1 under test (6-agent evaluation harness),UNVERIFIED (inferred from same-family harnesses),behavior jailbreak: dangerous OS-level operations with irreversible consequences,"819 high-risk cases; 5 operational scope categories (System Operation, Data Manipulation, Code Execution, Communications Outreach, Chain of Tasks); 14 MITRE ATT&CK techniques","SEMANTIC-PHYSICAL DUAL VERIFICATION + OS-LEVEL STATE ROLLBACK. Metrics: ASR, Execution Hallucination Rate, 4-cell semantic-physical confusion matrix",NO - harness agents are a sequential pipeline with no adversarial interaction,read-in-full,MOST IMPORTANT TO INHERIT. Harness roles: Prosecutor / Defendant / Verifier / Analyzer / Reviewer / Recoverer. Rollback exists precisely to stop run i contaminating run i+1. Do not reinvent.
b2-12,MobileSteward,2502.16796,arXiv 2025,Android,MULTIPLE app-oriented agents,"prompt ROLES inside ONE controller process - StewardAgent + StaffAgents are LLM role-play components, NOT separate Android apps. ADB to emulated Pixel 8 Pro / API 34",none (capability paper),cross-app instructions,-,NO - cooperation is the goal not the risk,read-setup (verified 2026-08-27),"CORRECTED: does NOT prove multi-agent-with-separate-UIDs exists. StaffAgents are prompt roles in ONE process - no permission separation, no UID boundary, therefore no coalition in our sense."
b2-13,DevicesWorld: Benchmarking Cross-Device Agents in Heterogeneous Environments,2607.13465,arXiv 2026,mobile + desktop + IoT,multiple,UNVERIFIED (inferred from same-family harnesses),none (capability paper),large-scale executable benchmark,-,NO,search-summary,Heterogeneous cross-device execution harness.
b2-14,MobileAgentBench / Mobile-Bench-v2 / MAS-Bench / AndroidWorld / AndroidDaily,-,-,Android,1,"external controller OUTSIDE sandbox; AndroidWorld = emulator Pixel 6 / API 33 (AVD AndroidWorldAvd), gRPC + accessibility forwarding app, cloud API models (default gpt-4-turbo)",none (capability benchmarks),AndroidWorld: 116 programmatic tasks across 20 real apps; AndroidDaily: 350 tasks across 94 closed-source apps,programmatic reward signals,NO,read-setup for AndroidWorld only (verified 2026-08-27),The execution substrate we would build on.
